_id;Country/Region;Lat;Long;Date;Confirmed;Deaths;Recovered;Active;iso_code;continent;location;date_1;total_cases;new_cases;new_cases_smoothed;total_deaths;new_deaths;new_deaths_smoothed;total_cases_per_million;new_cases_smoothed_per_million;total_deaths_per_million;new_deaths_per_million;new_tests;total_tests;total_tests_per_thousand;new_tests_per_thousand;new_tests_smoothed;new_tests_smoothed_per_thousand;tests_per_case;positive_rate;tests_units;stringency_index;population;population_density;median_age;aged_65_older;aged_70_older;gdp_per_capita;extreme_poverty;cardiovasc_death_rate;diabetes_prevalence;female_smokers;male_smokers;handwashing_facilities;hospital_beds_per_thousand;life_expectancy
5f65d70b7186c31f7a0d6f51;Albania;411.533;201.683;22/01/2020;0;0;0;0;ALB;Europe;Albania;04/03/2020;277;18;14;16;true;true;96;5;5;false;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;84;2877800;104;38;13;8;11803;1,1;304;10;7;51;NaN;2;78
5f65d70b7186c31f7a0d6f52;Albania;411.533;201.683;22/01/2020;0;0;0;0;ALB;Europe;Albania;04/04/2020;304;27;16;17;true;true;105;5;5;false;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;84;2877800;104;38;13;8;11803;1,1;304;10;7;51;NaN;2;78
5f65d70b7186c31f7a0d6f53;Albania;411.533;201.683;22/01/2020;0;0;0;0;ALB;Europe;Albania;04/05/2020;333;29;19;19;2;true;115;6;6;false;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;84;2877800;104;38;13;8;11803;1,1;304;10;7;51;NaN;2;78
5f65d70b7186c31f7a0d6f54;Albania;411.533;201.683;22/01/2020;0;0;0;0;ALB;Europe;Albania;04/06/2020;361;28;21;21;2;true;125;7;7;false;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;84;2877800;104;38;13;8;11803;1,1;304;10;7;51;NaN;2;78
5f65d70b7186c31f7a0d6f55;Albania;411.533;201.683;22/01/2020;0;0;0;0;ALB;Europe;Albania;04/07/2020;377;16;22;22;true;true;131;7;7;false;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;84;2877800;104;38;13;8;11803;1,1;304;10;7;51;NaN;2;78
5f65d70b7186c31f7a0d6f56;Albania;411.533;201.683;22/01/2020;0;0;0;0;ALB;Europe;Albania;04/08/2020;383;6;20;22;false;true;133;6;7;false;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;84;2877800;104;38;13;8;11803;1,1;304;10;7;51;NaN;2;78
5f65d70b7186c31f7a0d6f57;Albania;411.533;201.683;22/01/2020;0;0;0;0;ALB;Europe;Albania;04/09/2020;400;17;20;22;false;true;138;6;7;false;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;84;2877800;104;38;13;8;11803;1,1;304;10;7;51;NaN;2;78
5f65d70b7186c31f7a0d6f58;Albania;411.533;201.683;22/01/2020;0;0;0;0;ALB;Europe;Albania;04/10/2020;409;9;18;23;true;true;142;6;7;false;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;84;2877800;104;38;13;8;11803;1,1;304;10;7;51;NaN;2;78
5f65d70b7186c31f7a0d6f59;Albania;411.533;201.683;22/01/2020;0;0;0;0;ALB;Europe;Albania;04/11/2020;416;7;16;23;false;false;144;5;7;false;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;84;2877800;104;38;13;8;11803;1,1;304;10;7;51;NaN;2;78
5f65d70b7186c31f7a0d6f5a;Albania;411.533;201.683;22/01/2020;0;0;0;0;ALB;Europe;Albania;04/12/2020;433;17;14;23;false;false;150;4;7;false;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;84;2877800;104;38;13;8;11803;1,1;304;10;7;51;NaN;2;78
